Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA
239,SP2,13/01/02,Leganes,Cordoba,1,1,D,0,1,A,1.98,2.85,3.6,2.1,2.8,3,2.1,2.9,3.25,2.1,2.9,3.2
240,SP2,13/01/02,Levante,Albacete,1,1,D,0,1,A,2.5,2.7,2.75,2.5,2.6,2.6,2.62,2.7,2.7,2.5,2.75,2.7
241,SP2,13/01/02,Santander,Gimnastic,3,0,H,1,0,H,1.38,3.55,7.7,1.4,3.4,6,1.44,3.6,6.5,1.4,3.6,7
242,SP2,13/01/02,Salamanca,Numancia,2,0,H,0,0,D,2.05,2.8,3.45,2.1,2.8,3,2.1,2.88,3.3,2.15,2.85,3.15
243,SP2,13/01/02,Sp Gijon,Xerez,0,1,A,0,0,D,2.62,2.65,2.65,2.5,2.6,2.6,2.3,2.8,3,2.6,2.7,2.65
244,SP2,19/01/02,Ath Madrid,Eibar,1,0,H,0,0,D,1.4,3.75,6.45,1.4,3.4,6,1.44,3.6,6.5,1.4,3.8,6.5
245,SP2,19/01/02,Gimnastic,Burgos,0,0,D,0,0,D,2.92,2.75,2.32,2.7,2.7,2.3,2.75,2.88,2.4,3.2,2.7,2.2
246,SP2,19/01/02,Xerez,Extremadura,1,2,A,0,1,A,1.62,3.1,5.1,1.6,3,4.6,1.57,3.25,5.5,1.6,3,5.5
247,SP2,20/01/02,Albacete,Salamanca,0,1,A,0,0,D,1.98,2.8,3.65,1.9,2.8,3.4,1.91,3,3.75,1.9,2.9,3.8
248,SP2,20/01/02,Badajoz,Sp Gijon,1,2,A,1,1,D,2.12,2.75,3.32,2,2.8,3.1,2,2.88,3.6,1.9,2.8,4
249,SP2,20/01/02,Cordoba,Levante,3,1,H,0,1,A,1.88,2.85,3.95,1.85,2.8,3.5,1.83,2.88,4.33,1.8,2.9,4.2
250,SP2,20/01/02,Poli Ejido,Jaen,1,0,H,1,0,H,2.82,2.8,2.35,2.7,2.7,2.3,2.7,2.8,2.5,2.3,2.7,3
