Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA
164,I2,19/12/01,Cosenza,Modena,0,1,A,0,0,D,2.3,2.7,3.1,2.4,2.6,2.7,,,,2.3,2.7,3
165,I2,19/12/01,Empoli,Cagliari,2,1,H,0,0,D,1.57,3.1,6,1.6,2.9,4.8,,,,1.5,3.2,6.5
166,I2,19/12/01,Genoa,Cittadella,1,1,D,1,1,D,1.45,3.6,6.3,1.4,3.2,6.5,,,,1.4,3.6,7
167,I2,19/12/01,Messina,Siena,1,2,A,0,1,A,1.57,3,6.3,1.65,2.8,4.6,,,,1.7,2.75,5.5
168,I2,19/12/01,Palermo,Crotone,2,0,H,1,0,H,1.73,2.9,4.85,1.65,2.8,4.6,,,,1.7,2.75,5.5
169,I2,19/12/01,Pistoiese,Reggina,1,2,A,1,0,H,2.85,2.6,2.55,2.6,2.6,2.5,,,,2.8,2.6,2.55
170,I2,19/12/01,Vicenza,Bari,1,0,H,1,0,H,1.98,2.75,3.85,1.9,2.7,3.6,,,,2,2.75,3.7
171,I2,23/12/01,Bari,Salernitana,2,2,D,2,2,D,2,2.7,3.9,2,2.6,3.5,,,,2,2.75,3.65
172,I2,23/12/01,Cagliari,Genoa,2,1,H,1,1,D,2.4,2.7,2.95,2.4,2.6,2.7,,,,2.45,2.6,2.9
173,I2,23/12/01,Cittadella,Como,2,1,H,1,0,H,3.2,2.9,2.15,2.9,2.7,2.2,,,,3,2.8,2.25
174,I2,23/12/01,Crotone,Pistoiese,1,2,A,0,1,A,2,2.7,3.75,2,2.6,3.5,,,,2.3,2.6,3.2
175,I2,23/12/01,Empoli,Ancona,5,0,H,2,0,H,1.55,3.15,6,1.55,3,5,,,,1.5,3.2,6.5
176,I2,23/12/01,Modena,Messina,1,1,D,1,0,H,1.6,3,5.85,1.5,3,5.3,,,,1.45,3.2,7.5
177,I2,23/12/01,Napoli,Siena,2,0,H,1,0,H,1.61,3,5.7,1.6,2.8,5,,,,1.55,3.1,6
178,I2,23/12/01,Palermo,Cosenza,1,1,D,0,0,D,2.05,2.7,3.6,2.2,2.4,3.4,,,,2.1,2.65,3.5
179,I2,23/12/01,Reggina,Ternana,2,0,H,1,0,H,1.55,3.1,6.25,1.5,3,5.3,,,,1.5,3.2,6.5
180,I2,23/12/01,Sampdoria,Vicenza,2,1,H,1,1,D,2.2,2.6,3.45,2.2,2.4,3.4,,,,2.2,2.65,3.25
181,I2,04/01/02,Cosenza,Empoli,0,3,A,0,1,A,2.45,2.55,3.05,2.4,2.6,2.7,,,,2.5,2.6,2.85
182,I2,06/01/02,Como,Napoli,0,2,A,0,1,A,1.9,2.8,4.1,2,2.6,3.5,,,,1.9,2.7,4.2
183,I2,06/01/02,Genoa,Reggina,1,1,D,1,0,H,2.35,2.6,3.15,2.3,2.6,2.8,,,,2.3,2.6,3.2
184,I2,06/01/02,Messina,Crotone,4,0,H,2,0,H,1.7,2.9,5.2,1.65,2.8,4.6,,,,1.6,2.9,6
185,I2,06/01/02,Pistoiese,Cittadella,1,0,H,0,0,D,2.05,2.7,3.7,2,2.6,3.5,,,,2,2.75,3.7
186,I2,06/01/02,Salernitana,Modena,1,1,D,1,0,H,2.2,2.75,3.25,2.2,2.6,3,,,,2.2,2.7,3.25
187,I2,06/01/02,Siena,Sampdoria,0,4,A,0,2,A,2.65,2.6,2.75,2.5,2.6,2.6,,,,2.65,2.65,2.65
188,I2,06/01/02,Ternana,Bari,1,1,D,1,0,H,2.4,2.7,2.95,2.3,2.6,2.8,,,,2.4,2.6,3
189,I2,06/01/02,Vicenza,Cagliari,0,0,D,0,0,D,1.75,2.9,4.75,1.7,2.8,4.2,,,,1.65,2.9,5.5
190,I2,07/01/02,Ancona,Palermo,3,3,D,1,1,D,2.05,2.7,3.7,2.1,2.6,3.3,,,,2.1,2.6,3.7
191,I2,11/01/02,Bari,Modena,1,2,A,0,0,D,2.3,2.85,2.95,2.4,2.6,2.7,,,,2.25,2.7,3.1
192,I2,13/01/02,Cittadella,Cosenza,2,0,H,0,0,D,2.42,2.7,2.9,2.4,2.6,2.7,,,,2.25,2.7,3.1
193,I2,13/01/02,Messina,Cagliari,0,2,A,0,0,D,2.1,2.75,3.45,2.1,2.6,3.3,,,,2.05,2.75,3.5
194,I2,13/01/02,Napoli,Genoa,2,1,H,0,0,D,1.75,2.85,4.8,1.9,2.6,3.8,,,,1.7,2.9,5
195,I2,13/01/02,Palermo,Empoli,1,0,H,1,0,H,2.5,2.5,3.05,2.5,2.6,2.6,,,,2.5,2.65,2.8
